value,datetime
91.0,2022-04-22 16:20:23
87.0,2022-04-22 16:20:28
90.0,2022-04-22 16:20:33
92.0,2022-04-22 16:20:38
87.0,2022-04-22 16:20:43
91.0,2022-04-22 16:20:53
92.0,2022-04-22 16:20:58
91.0,2022-04-22 16:21:03
89.0,2022-04-22 16:21:08
90.0,2022-04-22 16:21:13
92.0,2022-04-22 16:21:18
91.0,2022-04-22 16:21:23
89.0,2022-04-22 16:21:28
91.0,2022-04-22 16:21:33
94.0,2022-04-22 16:21:38
95.0,2022-04-22 16:21:43
92.0,2022-04-22 16:21:48
88.0,2022-04-22 16:21:53
89.0,2022-04-22 16:22:03
90.0,2022-04-22 16:22:08
92.0,2022-04-22 16:22:13
92.0,2022-04-22 16:22:18
95.0,2022-04-22 16:22:23
94.0,2022-04-22 16:22:33
94.0,2022-04-22 16:22:38
95.0,2022-04-22 16:22:43
96.0,2022-04-22 16:22:48
97.0,2022-04-22 16:22:53
97.0,2022-04-22 16:23:08
95.0,2022-04-22 16:23:13
94.0,2022-04-22 16:23:18
92.0,2022-04-22 16:23:28
92.0,2022-04-22 16:23:38
91.0,2022-04-22 16:23:48
91.0,2022-04-22 16:23:53
92.0,2022-04-22 16:23:58
93.0,2022-04-22 16:24:03
94.0,2022-04-22 16:24:08
92.0,2022-04-22 16:24:13
93.0,2022-04-22 16:24:18
93.0,2022-04-22 16:24:23
92.0,2022-04-22 16:24:38
92.0,2022-04-22 16:24:43
92.0,2022-04-22 16:24:58
92.0,2022-04-22 16:25:03
93.0,2022-04-22 16:25:08
94.0,2022-04-22 16:25:13
96.0,2022-04-22 16:25:18
95.0,2022-04-22 16:25:23
93.0,2022-04-22 16:25:28
91.0,2022-04-22 16:25:33
92.0,2022-04-22 16:25:38
93.0,2022-04-22 16:25:43
92.0,2022-04-22 16:25:48
91.0,2022-04-22 16:25:53
90.0,2022-04-22 16:25:58
91.0,2022-04-22 16:26:03
93.0,2022-04-22 16:26:08
91.0,2022-04-22 16:26:13
92.0,2022-04-22 16:26:18
93.0,2022-04-22 16:26:23
94.0,2022-04-22 16:26:33
94.0,2022-04-22 16:26:38
94.0,2022-04-22 16:26:43
93.0,2022-04-22 16:26:48
94.0,2022-04-22 16:27:03
94.0,2022-04-22 16:27:13
94.0,2022-04-22 16:27:18
96.0,2022-04-22 16:27:23
97.0,2022-04-22 16:27:28
95.0,2022-04-22 16:27:33
92.0,2022-04-22 16:27:38
91.0,2022-04-22 16:27:48
92.0,2022-04-22 16:27:53
93.0,2022-04-22 16:28:03
92.0,2022-04-22 16:28:08
93.0,2022-04-22 16:28:13
94.0,2022-04-22 16:28:18
93.0,2022-04-22 16:28:23
